owner,0,1,2,3,4
8,6696256.0,8977855.0,9200493.0,11947662.0,10323747.0
0,748168.0,859709.0,1666709.0,3498784.0,3872310.0
5,1312740.0,3498784.0,3065310.0,3333418.0,5112784.0
3,3168444.0,4732019.0,4626601.0,7050277.0,6451437.0
4,3131188.0,5972493.0,6564094.0,5539019.0,6779493.0
1,273236.0,1978323.0,2179274.0,3956710.0,3858342.0
10,2420276.0,3872310.0,4679310.0,6025202.0,6884911.0
7,1496336.0,1719418.0,2421000.0,5383568.0,4298545.0
6,1312740.0,3498784.0,3925019.0,4087709.0,7050277.0
9,3153812.0,6937620.0,6293310.0,7857277.0,7744620.0
2,3022104.0,5270911.0,5486310.0,7857277.0,7744620.0
