owner,plots,wealth,hhsize,draft,livestock,expenses
0,9,936000,17,1,5,80810
1,12,1248000,29,6,40,80810
2,8,832000,28,3,7,80810
3,5,520000,12,1,2,80810
4,9,936000,12,3,10,80810
5,7,728000,19,2,9,80810
6,3,312000,8,0,0,80810
7,9,936000,18,2,7,80810
8,4,416000,11,2,11,80810
9,25,2600000,80,6,34,80810
10,5,520000,5,2,6,80810
11,5,520000,10,0,0,80810
12,16,1664000,47,4,25,80810
13,10,1040000,35,4,29,80810
14,10,1040000,22,5,30,80810
15,13,1352000,32,4,41,80810
16,5,520000,8,3,8,80810
17,6,624000,15,0,0,80810
18,12,1248000,61,9,77,80810
19,9,936000,15,3,16,80810
20,6,624000,7,1,2,80810
21,5,520000,15,2,6,80810
22,9,936000,21,2,8,80810
23,6,624000,21,0,0,80810
24,2,208000,2,0,0,80810
25,5,520000,8,2,6,80810
26,3,312000,6,0,2,80810
27,13,1352000,37,4,30,80810
28,9,936000,24,2,4,80810
29,15,1560000,22,2,5,80810
30,2,208000,10,2,4,80810
31,2,208000,10,2,3,80810
32,3,312000,10,1,1,80810
33,6,624000,5,2,4,80810
34,1,104000,4,0,0,80810
35,3,312000,6,1,2,80810
36,5,520000,11,2,4,80810
37,3,312000,7,1,1,80810
38,1,104000,2,0,0,80810
39,4,416000,4,1,2,80810
40,2,208000,6,0,0,80810
