"owner","plots","wealth","hhsize","draft","livestock","expenses","trees"
0,33,3800000,80,4,60,94970,1
1,2,332500,7,0,0,94970,0
2,4,237500,5,2,6,94970,0
3,11,760000,16,4,5,94970,0
4,7,760000,16,3,0,94970,0
5,3,760000,16,2,0,94970,0
6,4,427500,9,0,0,94970,0
7,3,332500,7,0,0,94970,0
8,1,142500,3,0,0,94970,0
9,5,617500,13,2,2,94970,0
11,6,617500,13,2,4,94970,0
12,7,475000,10,2,34,94970,0
13,4,855000,18,2,5,94970,0
14,18,1187500,25,4,130,94970,0
15,20,2137500,45,2,3,94970,0
16,15,1567500,33,4,20,94970,0
17,15,1045000,22,4,3,94970,0
19,8,1425000,30,2,4,94970,0
20,12,1092500,23,4,30,94970,0
21,13,1235000,26,1,0,94970,0
22,7,950000,20,3,10,94970,0
23,9,570000,12,1,0,94970,0
24,13,475000,10,4,17,94970,0
25,5,427500,9,2,0,94970,0
26,3,427500,9,0,0,94970,0
27,8,475000,10,1,1,94970,0
28,5,522500,11,2,7,94970,0
29,5,332500,7,1,0,94970,0
30,4,142500,3,1,0,94970,0
31,9,950000,20,2,0,94970,0
32,48,4085000,86,11,7,94970,0
33,6,760000,16,2,10,94970,0
34,2,285000,6,0,0,94970,0
35,1,237500,5,0,0,94970,0
36,7,427500,9,2,1,94970,0
37,6,522500,11,2,0,94970,0
38,9,950000,20,2,1,94970,0
39,6,760000,16,2,0,94970,0
40,13,1615000,34,4,10,94970,0
41,20,1567500,33,5,10,94970,0
42,4,380000,8,2,3,94970,0
43,27,1852500,39,6,50,94970,0
44,6,332500,7,2,3,94970,0
45,5,427500,9,2,8,94970,0
46,5,332500,7,2,65,94970,0
