Step,owner,plID,crop,mgt,harvest,GM,pot,steps_cult,suitability,steps_fallow,X,Y
0,17,10,G,lo,0.0,0.0,1.785,0,1.5,7,16,31
0,40,11,G,lo,48.6,9720.0,0.1,6,0.1,0,16,40
0,53,8,M,lo,1800.0,111940.0,1.5,9,1.5,0,17,29
0,28,8,C,lo,1350.0,241918.0,1.5,6,1.5,0,17,34
0,28,11,C,lo,1350.0,241918.0,1.5,8,1.5,0,17,35
0,53,5,G,lo,729.0,145800.0,1.5,4,1.5,0,18,27
0,53,6,M,lo,1800.0,111940.0,1.5,7,1.5,0,18,28
0,28,4,M,lo,1800.0,111940.0,1.5,8,1.5,0,18,34
0,28,5,G,lo,729.0,145800.0,1.5,5,1.5,0,18,35
0,28,6,G,lo,729.0,145800.0,1.5,1,1.5,0,18,36
0,28,14,C,lo,0.0,0.0,1.83,0,1.5,10,18,37
0,20,5,M,lo,1800.0,111940.0,1.5,9,1.5,0,19,26
0,28,1,C,lo,1350.0,241918.0,1.5,7,1.5,0,19,34
0,28,3,G,lo,729.0,145800.0,1.5,7,1.5,0,19,35
0,28,9,G,lo,729.0,145800.0,1.5,2,1.5,0,19,37
0,36,3,M,lo,1800.0,111940.0,1.5,3,1.5,0,19,41
0,53,3,G,lo,729.0,145800.0,1.5,3,1.5,0,20,29
0,28,2,M,lo,1800.0,111940.0,1.5,10,1.5,0,20,33
0,28,0,C,lo,1350.0,241918.0,1.5,1,1.5,0,20,35
0,28,7,M,lo,1800.0,111940.0,1.5,1,1.5,0,20,37
0,49,3,G,lo,729.0,145800.0,1.5,6,1.5,0,20,40
0,36,11,G,lo,729.0,145800.0,1.5,9,1.5,0,20,41
0,17,6,G,lo,729.0,145800.0,1.5,7,1.5,0,21,24
0,20,4,C,lo,1350.0,241918.0,1.5,6,1.5,0,21,27
0,53,1,G,lo,729.0,145800.0,1.5,2,1.5,0,21,28
0,53,2,G,lo,729.0,145800.0,1.5,4,1.5,0,21,29
0,28,12,C,lo,1350.0,241918.0,1.5,4,1.5,0,21,37
