Step,owner,plID,crop,age,harvest,GM,X,Y
0,4,1,cashew,0,0.0,0.0,53,29
0,4,2,cashew,0,0.0,0.0,53,37
0,0,0,cashew,1,0.0,-28000.0,63,18
1,4,1,cashew,1,0.0,-28000.0,53,29
1,4,2,cashew,1,0.0,-28000.0,53,37
1,0,0,cashew,2,0.0,0.0,63,18
2,4,1,cashew,2,0.0,0.0,53,29
2,4,2,cashew,2,0.0,0.0,53,37
2,0,0,cashew,3,0.0,0.0,63,18
3,4,1,cashew,3,0.0,0.0,53,29
3,4,2,cashew,3,0.0,0.0,53,37
3,0,0,cashew,4,450.0,157500.0,63,18
4,4,1,cashew,4,450.0,157500.0,53,29
4,4,2,cashew,4,450.0,157500.0,53,37
4,0,0,cashew,5,919.5,321825.0,63,18
4,55,2,cashew,0,0.0,0.0,90,37
4,55,1,cashew,0,0.0,0.0,91,36
5,4,1,cashew,5,919.5,321825.0,53,29
5,4,2,cashew,5,919.5,321825.0,53,37
5,0,0,cashew,6,1390.5,486675.0,63,18
5,39,1,cashew,0,0.0,0.0,80,48
5,39,2,cashew,0,0.0,0.0,81,46
5,55,2,cashew,1,0.0,-28000.0,90,37
5,55,1,cashew,1,0.0,-28000.0,91,36
6,4,1,cashew,6,1390.5,486675.0,53,29
6,4,2,cashew,6,1390.5,486675.0,53,37
6,0,0,cashew,7,1861.5,651525.0,63,18
6,39,1,cashew,1,0.0,-28000.0,80,48
6,39,2,cashew,1,0.0,-28000.0,81,46
6,51,2,cashew,0,0.0,0.0,89,28
6,51,1,cashew,0,0.0,0.0,89,29
6,55,2,cashew,2,0.0,0.0,90,37
6,55,1,cashew,2,0.0,0.0,91,36
7,4,1,cashew,7,1861.5,651525.0,53,29
7,4,2,cashew,7,1861.5,651525.0,53,37
7,0,0,cashew,8,2332.5,816375.0,63,18
7,39,1,cashew,2,0.0,0.0,80,48
7,39,2,cashew,2,0.0,0.0,81,46
7,51,2,cashew,1,0.0,-28000.0,89,28
7,51,1,cashew,1,0.0,-28000.0,89,29
7,55,2,cashew,3,0.0,0.0,90,37
7,55,1,cashew,3,0.0,0.0,91,36
8,4,1,cashew,8,2332.5,816375.0,53,29
8,4,2,cashew,8,2332.5,816375.0,53,37
8,0,0,cashew,9,2803.5,981225.0,63,18
8,39,1,cashew,3,0.0,0.0,80,48
8,39,2,cashew,3,0.0,0.0,81,46
8,51,2,cashew,2,0.0,0.0,89,28
8,51,1,cashew,2,0.0,0.0,89,29
8,55,2,cashew,4,450.0,157500.0,90,37
8,55,1,cashew,4,450.0,157500.0,91,36
9,62,2,cashew,0,0.0,0.0,29,64
9,62,1,cashew,0,0.0,0.0,32,63
9,20,1,cashew,0,0.0,0.0,52,40
9,4,1,cashew,9,2803.5,981225.0,53,29
9,4,2,cashew,9,2803.5,981225.0,53,37
9,20,2,cashew,0,0.0,0.0,53,39
9,0,0,cashew,10,3274.5,1146075.0,63,18
9,39,1,cashew,4,450.0,157500.0,80,48
9,39,2,cashew,4,450.0,157500.0,81,46
9,51,2,cashew,3,0.0,0.0,89,28
9,51,1,cashew,3,0.0,0.0,89,29
9,55,2,cashew,5,919.5,321825.0,90,37
9,55,1,cashew,5,919.5,321825.0,91,36
10,62,2,cashew,1,0.0,-28000.0,29,64
10,62,1,cashew,1,0.0,-28000.0,32,63
10,20,1,cashew,1,0.0,-28000.0,52,40
10,4,1,cashew,10,3274.5,1146075.0,53,29
10,4,2,cashew,10,3274.5,1146075.0,53,37
10,20,2,cashew,1,0.0,-28000.0,53,39
10,0,0,cashew,11,3750.0,1312500.0,63,18
10,39,1,cashew,5,919.5,321825.0,80,48
10,39,2,cashew,5,919.5,321825.0,81,46
10,51,2,cashew,4,450.0,157500.0,89,28
10,51,1,cashew,4,450.0,157500.0,89,29
10,55,2,cashew,6,1390.5,486675.0,90,37
10,55,1,cashew,6,1390.5,486675.0,91,36
11,62,2,cashew,2,0.0,0.0,29,64
11,62,1,cashew,2,0.0,0.0,32,63
11,20,1,cashew,2,0.0,0.0,52,40
11,4,1,cashew,11,3750.0,1312500.0,53,29
11,4,2,cashew,11,3750.0,1312500.0,53,37
11,20,2,cashew,2,0.0,0.0,53,39
11,32,1,cashew,0,0.0,0.0,53,40
11,32,2,cashew,0,0.0,0.0,54,42
11,0,0,cashew,12,3750.0,1312500.0,63,18
11,40,2,cashew,0,0.0,0.0,74,43
11,40,1,cashew,0,0.0,0.0,75,42
11,39,1,cashew,6,1390.5,486675.0,80,48
11,39,2,cashew,6,1390.5,486675.0,81,46
11,51,2,cashew,5,919.5,321825.0,89,28
11,51,1,cashew,5,919.5,321825.0,89,29
11,55,2,cashew,7,1861.5,651525.0,90,37
11,55,1,cashew,7,1861.5,651525.0,91,36
12,62,2,cashew,3,0.0,0.0,29,64
12,62,1,cashew,3,0.0,0.0,32,63
12,20,1,cashew,3,0.0,0.0,52,40
12,4,1,cashew,12,3750.0,1312500.0,53,29
12,4,2,cashew,12,3750.0,1312500.0,53,37
12,20,2,cashew,3,0.0,0.0,53,39
12,32,1,cashew,1,0.0,-28000.0,53,40
12,32,2,cashew,1,0.0,-28000.0,54,42
12,0,0,cashew,13,3750.0,1312500.0,63,18
12,40,2,cashew,1,0.0,-28000.0,74,43
12,40,1,cashew,1,0.0,-28000.0,75,42
12,39,1,cashew,7,1861.5,651525.0,80,48
12,39,2,cashew,7,1861.5,651525.0,81,46
12,51,2,cashew,6,1390.5,486675.0,89,28
12,51,1,cashew,6,1390.5,486675.0,89,29
12,55,2,cashew,8,2332.5,816375.0,90,37
12,55,1,cashew,8,2332.5,816375.0,91,36
13,62,2,cashew,4,300.0,105000.0,29,64
13,16,1,cashew,0,0.0,0.0,29,65
13,62,1,cashew,4,300.0,105000.0,32,63
13,16,2,cashew,0,0.0,0.0,39,69
13,20,1,cashew,4,450.0,157500.0,52,40
13,4,1,cashew,13,3750.0,1312500.0,53,29
13,4,2,cashew,13,3750.0,1312500.0,53,37
13,20,2,cashew,4,450.0,157500.0,53,39
13,32,1,cashew,2,0.0,0.0,53,40
13,32,2,cashew,2,0.0,0.0,54,42
13,0,0,cashew,14,3750.0,1312500.0,63,18
13,40,2,cashew,2,0.0,0.0,74,43
13,40,1,cashew,2,0.0,0.0,75,42
13,39,1,cashew,8,2332.5,816375.0,80,48
13,39,2,cashew,8,2332.5,816375.0,81,46
13,51,2,cashew,7,1861.5,651525.0,89,28
13,51,1,cashew,7,1861.5,651525.0,89,29
13,55,2,cashew,9,2803.5,981225.0,90,37
13,55,1,cashew,9,2803.5,981225.0,91,36
14,62,2,cashew,5,613.0,214550.0,29,64
14,16,1,cashew,1,0.0,-28000.0,29,65
14,62,1,cashew,5,613.0,214550.0,32,63
14,16,2,cashew,1,0.0,-28000.0,39,69
14,20,1,cashew,5,919.5,321825.0,52,40
14,4,1,cashew,14,3750.0,1312500.0,53,29
14,4,2,cashew,14,3750.0,1312500.0,53,37
14,20,2,cashew,5,919.5,321825.0,53,39
14,32,1,cashew,3,0.0,0.0,53,40
14,32,2,cashew,3,0.0,0.0,54,42
14,0,0,cashew,15,3750.0,1312500.0,63,18
14,40,2,cashew,3,0.0,0.0,74,43
14,40,1,cashew,3,0.0,0.0,75,42
14,39,1,cashew,9,2803.5,981225.0,80,48
14,39,2,cashew,9,2803.5,981225.0,81,46
14,51,2,cashew,8,2332.5,816375.0,89,28
14,51,1,cashew,8,2332.5,816375.0,89,29
14,55,2,cashew,10,3274.5,1146075.0,90,37
14,55,1,cashew,10,3274.5,1146075.0,91,36
15,62,2,cashew,6,927.0,324450.0,29,64
15,16,1,cashew,2,0.0,0.0,29,65
15,62,1,cashew,6,927.0,324450.0,32,63
15,16,2,cashew,2,0.0,0.0,39,69
15,20,1,cashew,6,1390.5,486675.0,52,40
15,4,1,cashew,15,3750.0,1312500.0,53,29
15,4,2,cashew,15,3750.0,1312500.0,53,37
15,20,2,cashew,6,1390.5,486675.0,53,39
15,32,1,cashew,4,450.0,157500.0,53,40
15,32,2,cashew,4,450.0,157500.0,54,42
15,0,0,cashew,16,3750.0,1312500.0,63,18
15,40,2,cashew,4,450.0,157500.0,74,43
15,40,1,cashew,4,450.0,157500.0,75,42
15,39,1,cashew,10,3274.5,1146075.0,80,48
15,39,2,cashew,10,3274.5,1146075.0,81,46
15,51,2,cashew,9,2803.5,981225.0,89,28
15,51,1,cashew,9,2803.5,981225.0,89,29
15,55,2,cashew,11,3750.0,1312500.0,90,37
15,55,1,cashew,11,3750.0,1312500.0,91,36
16,62,2,cashew,7,1241.0,434350.0,29,64
16,16,1,cashew,3,0.0,0.0,29,65
16,62,1,cashew,7,1241.0,434350.0,32,63
16,16,2,cashew,3,0.0,0.0,39,69
16,11,2,cashew,0,0.0,0.0,51,24
16,11,1,cashew,0,0.0,0.0,51,25
16,20,1,cashew,7,1861.5,651525.0,52,40
16,4,1,cashew,16,3750.0,1312500.0,53,29
16,4,2,cashew,16,3750.0,1312500.0,53,37
16,20,2,cashew,7,1861.5,651525.0,53,39
16,32,1,cashew,5,919.5,321825.0,53,40
16,32,2,cashew,5,919.5,321825.0,54,42
16,0,0,cashew,17,3750.0,1312500.0,63,18
16,40,2,cashew,5,919.5,321825.0,74,43
16,40,1,cashew,5,919.5,321825.0,75,42
16,39,1,cashew,11,3750.0,1312500.0,80,48
16,39,2,cashew,11,3750.0,1312500.0,81,46
16,51,2,cashew,10,3274.5,1146075.0,89,28
16,51,1,cashew,10,3274.5,1146075.0,89,29
16,55,2,cashew,12,3750.0,1312500.0,90,37
16,55,1,cashew,12,3750.0,1312500.0,91,36
17,62,2,cashew,8,1555.0,544250.0,29,64
17,16,1,cashew,4,450.0,157500.0,29,65
17,62,1,cashew,8,1555.0,544250.0,32,63
17,16,2,cashew,4,584.9999999999999,204749.99999999997,39,69
17,11,2,cashew,1,0.0,-28000.0,51,24
17,11,1,cashew,1,0.0,-28000.0,51,25
17,20,1,cashew,8,2332.5,816375.0,52,40
17,4,1,cashew,17,3750.0,1312500.0,53,29
17,4,2,cashew,17,3750.0,1312500.0,53,37
17,20,2,cashew,8,2332.5,816375.0,53,39
17,32,1,cashew,6,1390.5,486675.0,53,40
17,32,2,cashew,6,1390.5,486675.0,54,42
17,0,0,cashew,18,3750.0,1312500.0,63,18
17,40,2,cashew,6,1390.5,486675.0,74,43
17,40,1,cashew,6,1390.5,486675.0,75,42
17,39,1,cashew,12,3750.0,1312500.0,80,48
17,39,2,cashew,12,3750.0,1312500.0,81,46
17,19,2,cashew,0,0.0,0.0,83,52
17,19,1,cashew,0,0.0,0.0,84,51
17,51,2,cashew,11,3750.0,1312500.0,89,28
17,51,1,cashew,11,3750.0,1312500.0,89,29
17,55,2,cashew,13,3750.0,1312500.0,90,37
17,55,1,cashew,13,3750.0,1312500.0,91,36
18,29,1,cashew,0,0.0,0.0,29,43
18,62,2,cashew,9,1869.0,654150.0,29,64
18,16,1,cashew,5,919.5,321825.0,29,65
18,62,1,cashew,9,1869.0,654150.0,32,63
18,29,2,cashew,0,0.0,0.0,37,42
18,16,2,cashew,5,1195.35,418372.49999999994,39,69
18,11,2,cashew,2,0.0,0.0,51,24
18,11,1,cashew,2,0.0,0.0,51,25
18,20,1,cashew,9,2803.5,981225.0,52,40
18,4,1,cashew,18,3750.0,1312500.0,53,29
18,4,2,cashew,18,3750.0,1312500.0,53,37
18,20,2,cashew,9,2803.5,981225.0,53,39
18,32,1,cashew,7,1861.5,651525.0,53,40
18,32,2,cashew,7,1861.5,651525.0,54,42
18,0,0,cashew,19,3750.0,1312500.0,63,18
18,40,2,cashew,7,1861.5,651525.0,74,43
18,40,1,cashew,7,1861.5,651525.0,75,42
18,39,1,cashew,13,3750.0,1312500.0,80,48
18,39,2,cashew,13,3750.0,1312500.0,81,46
18,19,2,cashew,1,0.0,-28000.0,83,52
18,19,1,cashew,1,0.0,-28000.0,84,51
18,51,2,cashew,12,3750.0,1312500.0,89,28
18,51,1,cashew,12,3750.0,1312500.0,89,29
18,55,2,cashew,14,3750.0,1312500.0,90,37
18,55,1,cashew,14,3750.0,1312500.0,91,36
19,29,1,cashew,1,0.0,-28000.0,29,43
19,62,2,cashew,10,2183.0,764050.0,29,64
19,16,1,cashew,6,1390.5,486675.0,29,65
19,62,1,cashew,10,2183.0,764050.0,32,63
19,29,2,cashew,1,0.0,-28000.0,37,42
19,16,2,cashew,6,1807.6499999999999,632677.5,39,69
19,11,2,cashew,3,0.0,0.0,51,24
19,11,1,cashew,3,0.0,0.0,51,25
19,20,1,cashew,10,3274.5,1146075.0,52,40
19,4,1,cashew,19,3750.0,1312500.0,53,29
19,4,2,cashew,19,3750.0,1312500.0,53,37
19,20,2,cashew,10,3274.5,1146075.0,53,39
19,32,1,cashew,8,2332.5,816375.0,53,40
19,32,2,cashew,8,2332.5,816375.0,54,42
19,0,0,cashew,20,3750.0,1312500.0,63,18
19,40,2,cashew,8,2332.5,816375.0,74,43
19,40,1,cashew,8,2332.5,816375.0,75,42
19,39,1,cashew,14,3750.0,1312500.0,80,48
19,39,2,cashew,14,3750.0,1312500.0,81,46
19,19,2,cashew,2,0.0,0.0,83,52
19,19,1,cashew,2,0.0,0.0,84,51
19,51,2,cashew,13,3750.0,1312500.0,89,28
19,51,1,cashew,13,3750.0,1312500.0,89,29
19,55,2,cashew,15,3750.0,1312500.0,90,37
19,55,1,cashew,15,3750.0,1312500.0,91,36
20,29,1,cashew,2,0.0,0.0,29,43
20,62,2,cashew,11,2500.0,875000.0,29,64
20,16,1,cashew,7,1861.5,651525.0,29,65
20,62,1,cashew,11,2500.0,875000.0,32,63
20,29,2,cashew,2,0.0,0.0,37,42
20,16,2,cashew,7,2419.95,846982.4999999999,39,69
20,11,2,cashew,4,450.0,157500.0,51,24
20,11,1,cashew,4,450.0,157500.0,51,25
20,20,1,cashew,11,3750.0,1312500.0,52,40
20,4,1,cashew,20,3750.0,1312500.0,53,29
20,4,2,cashew,20,3750.0,1312500.0,53,37
20,20,2,cashew,11,3750.0,1312500.0,53,39
20,32,1,cashew,9,2803.5,981225.0,53,40
20,32,2,cashew,9,2803.5,981225.0,54,42
20,0,0,cashew,21,3750.0,1312500.0,63,18
20,40,2,cashew,9,2803.5,981225.0,74,43
20,40,1,cashew,9,2803.5,981225.0,75,42
20,1,1,cashew,0,0.0,0.0,78,34
20,1,2,cashew,0,0.0,0.0,79,35
20,39,1,cashew,15,3750.0,1312500.0,80,48
20,39,2,cashew,15,3750.0,1312500.0,81,46
20,19,2,cashew,3,0.0,0.0,83,52
20,19,1,cashew,3,0.0,0.0,84,51
20,51,2,cashew,14,3750.0,1312500.0,89,28
20,51,1,cashew,14,3750.0,1312500.0,89,29
20,55,2,cashew,16,3750.0,1312500.0,90,37
20,55,1,cashew,16,3750.0,1312500.0,91,36
21,29,1,cashew,3,0.0,0.0,29,43
21,62,2,cashew,12,2500.0,875000.0,29,64
21,16,1,cashew,8,2332.5,816375.0,29,65
21,62,1,cashew,12,2500.0,875000.0,32,63
21,29,2,cashew,3,0.0,0.0,37,42
21,16,2,cashew,8,3032.2499999999995,1061287.4999999998,39,69
21,11,2,cashew,5,919.5,321825.0,51,24
21,11,1,cashew,5,919.5,321825.0,51,25
21,20,1,cashew,12,3750.0,1312500.0,52,40
21,4,1,cashew,21,3750.0,1312500.0,53,29
21,4,2,cashew,21,3750.0,1312500.0,53,37
21,20,2,cashew,12,3750.0,1312500.0,53,39
21,32,1,cashew,10,3274.5,1146075.0,53,40
21,32,2,cashew,10,3274.5,1146075.0,54,42
21,61,2,cashew,0,0.0,0.0,60,26
21,61,1,cashew,0,0.0,0.0,61,26
21,0,0,cashew,22,3750.0,1312500.0,63,18
21,40,2,cashew,10,3274.5,1146075.0,74,43
21,40,1,cashew,10,3274.5,1146075.0,75,42
21,1,1,cashew,1,0.0,-28000.0,78,34
21,1,2,cashew,1,0.0,-28000.0,79,35
21,39,1,cashew,16,3750.0,1312500.0,80,48
21,39,2,cashew,16,3750.0,1312500.0,81,46
21,19,2,cashew,4,450.0,157500.0,83,52
21,19,1,cashew,4,450.0,157500.0,84,51
21,51,2,cashew,15,3750.0,1312500.0,89,28
21,51,1,cashew,15,3750.0,1312500.0,89,29
21,55,2,cashew,17,3750.0,1312500.0,90,37
