Step,AgentID,livestock,income,plots,owner,draft,wealth
0,"(5, 44)",0,"[3157180.0, 4833000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0]",7,9,1,2430070.0
0,"(6, 40)",0,"[2675700.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0]",5,2,2,2087070.0
0,"(10, 41)",0,"[1605420.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0]",3,6,1,1236080.0
0,"(21, 40)",0,"[1551760.0, 2412000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0]",4,10,1,1032370.0
0,"(25, 6)",0,"[1645300.0, 2607000.0, 4944085.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0]",5,3,1,1056670.0
0,"(26, 30)",0,"[2327640.0, 3618000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0]",6,4,0,1588960.0
0,"(31, 45)",0,"[93540.0, 97200.0, 343168.0, 626673.0, 807000.0, 1345892.0, 859709.0, 807000.0, 1345892.0, 859709.0]",1,0,0,-54912.0
0,"(33, 25)",0,"[1163820.0, 1809000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0]",3,5,0,794480.0
0,"(34, 15)",1,"[5351400.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0]",10,8,2,4254950.0
0,"(44, 36)",0,"[374160.0, 388800.0, 967672.0, 1807584.0, 2004000.0, 3241118.0, 2040620.0, 2004000.0, 3241118.0, 2040620.0]",4,1,2,184402.0
0,"(46, 46)",0,"[-107320.0, 0.0, 78836.0, 187080.0, 291600.0, 686336.0, 628680.0, 1206000.0, 2334709.0, 1719418.0]",2,7,0,-242604.0
1,"(6, 40)",0,"[2675700.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0]",5,2,2,5249165.0
1,"(6, 43)",0,"[3157180.0, 4833000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0]",7,9,1,6137975.0
1,"(10, 41)",0,"[1605420.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0]",3,6,1,3117175.0
1,"(18, 39)",0,"[1551760.0, 2412000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0]",4,10,1,2697560.0
1,"(25, 44)",0,"[93540.0, 97200.0, 343168.0, 626673.0, 807000.0, 1345892.0, 859709.0, 807000.0, 1345892.0, 859709.0]",1,0,0,-172992.0
1,"(26, 28)",0,"[2327640.0, 3618000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0]",6,4,0,4127150.0
1,"(27, 8)",0,"[1645300.0, 2607000.0, 4944085.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0, 3423000.0, 5658235.0, 3599437.0]",5,3,1,2790765.0
1,"(33, 22)",0,"[1163820.0, 1809000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0, 2217000.0, 3680601.0, 2346091.0]",3,5,0,2063575.0
1,"(34, 15)",1,"[5351400.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0, 8070000.0, 13458920.0, 8597090.0]",10,8,2,10659950.0
1,"(42, 32)",0,"[374160.0, 388800.0, 967672.0, 1807584.0, 2004000.0, 3241118.0, 2040620.0, 2004000.0, 3241118.0, 2040620.0]",4,1,2,116132.0
1,"(46, 40)",0,"[-107320.0, 0.0, 78836.0, 187080.0, 291600.0, 686336.0, 628680.0, 1206000.0, 2334709.0, 1719418.0]",2,7,0,-511544.0
2,"(6, 40)",0,"[2675700.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0, 4035000.0, 6729460.0, 4298545.0]",5,2,2,11691195.0
2,"(6, 43)",0,"[3157180.0, 4833000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0, 5241000.0, 8707094.0, 5551891.0]",7,9,1,14539639.0
2,"(11, 41)",0,"[1605420.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0, 2421000.0, 4037676.0, 2579127.0]",3,6,1,6966231.0
2,"(18, 39)",0,"[1551760.0, 2412000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0, 2820000.0, 4669418.0, 2972764.0]",4,10,1,7088548.0
2,"(20, 43)",0,"[93540.0, 97200.0, 343168.0, 626673.0, 807000.0, 1345892.0, 859709.0, 807000.0, 1345892.0, 859709.0]",1,0,0,-444.0
2,"(26, 27)",0,"[2327640.0, 3618000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0, 4026000.0, 6647052.0, 4226110.0]",6,4,0,10396962.0
